Species,Whole Genome,16S,STDev
Fervidobacterium pennivorans,1352.4715,3570.00465,125.178
Desulfosporosinus acidiphilus,805.3675,10702.99045,400.667
Spirochaeta smaragdinae,623.5855,6043.5318,176.223
Meiothermus silvanus,616.9535,6159.9463,174.7365
Hirschia baltica,587.0685,6068.70405,101.849
Thermobacillus composti,525.915,7553.06865,171.4875
Desulfotomaculum gibsoniae,374.9885,6704.18345,97.39
Frateuria aurantia,288.41,8239.41665,127.5955
Olsenella uli,285.9935,5974.50465,152.9325
Desulfosporosinus meridiei,268.9395,8882.7147,147.1
Natronococcus occultus,235.329,1864.7698,84.997
Coraliomargarita akajimensis,232.104,3456.7263,40.476
Natronobacterium gregoryi,204.67,1910.5622,48.6105
Halovivax ruber,166.595,1936.0515,45.013
Terriglobus roseus,122.145,6880.63285,103.184
Segniliparus rotundus,119.615,6988.27065,88.4815
Pseudomonas stutzeri,96.776,8363.8864,101.2225
Streptococcus pyogenes,76.805,9421.74145,137.1465
Clostridium perfringens,43.6315,8462.1927,130.8975
Salmonella enterica subsp. arizonae serovar,42.0875,3540.7461,70.132
Clostridium thermocellum,39.235,10281.34535,139.833
Salmonella bongori,36.221,5025.2991,80.702
Echinicola vietnamensis,30.3545,4628.7747,44.419
Corynebacterium glutamicum,30.1775,6862.89155,62.191
E.coli,24.345,1127.52105,78.6165
Nocardiopsis dassonvillei,4.2015,5684.0052,45.881